Timestamp,Source,Destination,Protocol,Length
2019-01-17 18:29:10.479254,205.190.27.244,45.169.88.37,TCP,1496
2019-01-17 18:29:10.479255,205.190.27.244,45.169.88.37,TCP,1496
2019-01-17 18:29:10.479261,136.108.252.253,171.168.3.189,_WS.SHORT,52
2019-01-17 18:29:10.479271,95.194.38.106,182.250.166.254,_WS.SHORT,1457
2019-01-17 18:29:10.479272,87.137.189.229,203.121.202.108,TCP,50
2019-01-17 18:29:10.479273,205.190.27.244,45.169.88.37,TCP,1496
2019-01-17 18:29:10.479275,205.190.27.244,45.169.88.37,TCP,1496
2019-01-17 18:29:10.479279,213.13.165.212,161.5.166.179,_WS.SHORT,629
2019-01-17 18:29:10.479280,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479281,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479282,205.190.27.244,45.169.88.37,TCP,1496
